segment_id,dominant_lithology,fault_distance_nearest_m,fault_distance_active_m,fault_intersection_count,fault_density_100m,epsg_32643_verified,status
NH44_SEG_111,Quartzite / Schist / Slate,37719.97,40219.97,0,0.0,True,PASS
NH44_SEG_112,Quartzite / Schist / Slate,38120.49,40620.49,0,0.0,True,PASS
NH44_SEG_113,Quartzite / Schist / Slate,38045.52,40545.52,0,0.0,True,PASS
NH44_SEG_114,Quartzite / Schist / Slate,37789.57,40289.57,0,0.0,True,PASS
NH44_SEG_115,Quartzite / Schist / Slate,37577.93,40077.93,0,0.0,True,PASS
NH44_SEG_116,Quartzite / Schist / Slate,37554.65,40054.65,0,0.0,True,PASS
NH44_SEG_117,Quartzite / Schist / Slate,37512.67,40012.67,0,0.0,True,PASS
NH44_SEG_118,Quartzite / Schist / Slate,37609.16,40109.16,0,0.0,True,PASS
NH44_SEG_119,Quartzite / Schist / Slate,38005.41,40505.41,0,0.0,True,PASS
NH44_SEG_120,Quartzite / Schist / Slate,38370.98,40870.98,0,0.0,True,PASS
NH44_SEG_121,Quartzite / Schist / Slate,38670.36,41170.36,0,0.0,True,PASS
NH44_SEG_122,Quartzite / Schist / Slate,38997.45,41497.45,0,0.0,True,PASS
NH44_SEG_123,Quartzite / Schist / Slate,39432.08,41932.08,0,0.0,True,PASS
NH44_SEG_124,Quartzite / Schist / Slate,39670.66,42170.66,0,0.0,True,PASS
NH44_SEG_125,Quartzite / Schist / Slate,39989.65,42489.65,0,0.0,True,PASS
NH44_SEG_126,Quartzite / Schist / Slate,40021.85,42521.85,0,0.0,True,PASS
NH44_SEG_127,Quartzite / Schist / Slate,40220.79,42720.79,0,0.0,True,PASS
NH44_SEG_128,Quartzite / Schist / Slate,40057.48,42557.48,0,0.0,True,PASS
NH44_SEG_129,Quartzite / Schist / Slate,39851.67,42351.67,0,0.0,True,PASS
NH44_SEG_130,Quartzite / Schist / Slate,39403.09,41903.09,0,0.0,True,PASS
NH44_SEG_131,Quartzite / Schist / Slate,39076.45,41576.45,0,0.0,True,PASS
NH44_SEG_132,Quartzite / Schist / Slate,38708.64,41208.64,0,0.0,True,PASS
NH44_SEG_133,Quartzite / Schist / Slate,38511.16,41011.16,0,0.0,True,PASS
