segment_id,chainage_mid_m,min_method_rank,max_method_rank,rank_range,rank_std_dev,sensitivity_category
NH44_SEG_116,57750.0,112,119,7,2.83,VERY_STABLE
NH44_SEG_117,58250.0,111,119,8,3.24,VERY_STABLE
NH44_SEG_118,58750.0,114,119,5,2.02,VERY_STABLE
NH44_SEG_119,59250.0,117,119,2,0.81,VERY_STABLE
NH44_SEG_120,59750.0,119,124,5,2.02,VERY_STABLE
NH44_SEG_121,60250.0,119,132,13,5.26,MODERATE
NH44_SEG_122,60750.0,119,138,19,7.69,MODERATE
NH44_SEG_123,61250.0,119,142,23,9.3,SENSITIVE
NH44_SEG_124,61750.0,119,144,25,10.11,SENSITIVE
NH44_SEG_125,62250.0,119,147,28,11.33,SENSITIVE
NH44_SEG_126,62750.0,119,148,29,11.73,SENSITIVE
NH44_SEG_127,63250.0,119,151,32,12.94,SENSITIVE
NH44_SEG_128,63750.0,119,149,30,12.14,SENSITIVE
NH44_SEG_129,64250.0,119,145,26,10.52,SENSITIVE
NH44_SEG_130,64750.0,119,141,22,8.9,SENSITIVE
NH44_SEG_131,65250.0,119,139,20,8.09,MODERATE
NH44_SEG_132,65750.0,119,133,14,5.66,MODERATE
NH44_SEG_133,66250.0,119,129,10,4.05,VERY_STABLE
NH44_SEG_134,66750.0,119,122,3,1.21,VERY_STABLE
NH44_SEG_135,67250.0,119,120,1,0.4,VERY_STABLE
NH44_SEG_136,67750.0,119,123,4,1.62,VERY_STABLE
NH44_SEG_137,68250.0,119,121,2,0.81,VERY_STABLE
NH44_SEG_138,68750.0,119,125,6,2.43,VERY_STABLE
NH44_SEG_139,69250.0,119,131,12,4.85,MODERATE
NH44_SEG_140,69750.0,119,136,17,6.88,MODERATE
NH44_SEG_141,70250.0,119,137,18,7.28,MODERATE
NH44_SEG_142,70750.0,119,135,16,6.47,MODERATE
NH44_SEG_143,71250.0,119,128,9,3.64,VERY_STABLE
NH44_SEG_144,71750.0,119,126,7,2.83,VERY_STABLE
NH44_SEG_145,72250.0,119,127,8,3.24,VERY_STABLE
NH44_SEG_146,72750.0,119,130,11,4.45,MODERATE
NH44_SEG_147,73250.0,119,134,15,6.07,MODERATE
NH44_SEG_148,73750.0,119,140,21,8.49,SENSITIVE
NH44_SEG_149,74250.0,119,143,24,9.71,SENSITIVE
NH44_SEG_150,74750.0,119,146,27,10.92,SENSITIVE
NH44_SEG_151,75250.0,119,150,31,12.54,SENSITIVE
NH44_SEG_152,75750.0,119,152,33,13.35,SENSITIVE
NH44_SEG_153,76250.0,119,155,36,14.56,HIGHLY_SENSITIVE
NH44_SEG_154,76750.0,119,153,34,13.75,SENSITIVE
NH44_SEG_155,77250.0,119,154,35,14.16,SENSITIVE
NH44_SEG_156,77750.0,119,156,37,14.97,HIGHLY_SENSITIVE
NH44_SEG_157,78250.0,119,157,38,15.37,HIGHLY_SENSITIVE
NH44_SEG_158,78559.68,119,158,39,15.78,HIGHLY_SENSITIVE
