segment_id,method_rank_range,weight_perturbation_90_width,spatial_bootstrap_90_width,combined_90_rank_interval_width,top_10_probability_weights,uncertainty_source_primary
NH44_SEG_114,3,0.0,0.0,0.0,0.0,METHOD_SENSITIVITY
NH44_SEG_115,6,0.0,0.0,0.0,0.0,METHOD_SENSITIVITY
NH44_SEG_116,7,0.0,0.0,0.0,0.0,METHOD_SENSITIVITY
NH44_SEG_117,8,0.0,0.0,0.0,0.0,METHOD_SENSITIVITY
NH44_SEG_118,5,0.0,0.0,0.0,0.0,METHOD_SENSITIVITY
NH44_SEG_119,2,0.0,0.0,0.0,0.0,METHOD_SENSITIVITY
NH44_SEG_120,5,0.0,0.0,0.0,0.0,METHOD_SENSITIVITY
NH44_SEG_121,13,0.0,0.0,0.0,0.0,METHOD_SENSITIVITY
NH44_SEG_122,19,0.0,0.0,0.0,0.0,METHOD_SENSITIVITY
NH44_SEG_123,23,0.0,0.0,0.0,0.0,METHOD_SENSITIVITY
NH44_SEG_124,25,0.0,0.0,0.0,0.0,METHOD_SENSITIVITY
NH44_SEG_125,28,0.0,0.0,0.0,0.0,METHOD_SENSITIVITY
NH44_SEG_126,29,0.0,0.0,0.0,0.0,METHOD_SENSITIVITY
NH44_SEG_127,32,0.0,0.0,0.0,0.0,METHOD_SENSITIVITY
NH44_SEG_128,30,0.0,0.0,0.0,0.0,METHOD_SENSITIVITY
NH44_SEG_129,26,0.0,0.0,0.0,0.0,METHOD_SENSITIVITY
NH44_SEG_130,22,0.0,0.0,0.0,0.0,METHOD_SENSITIVITY
NH44_SEG_131,20,0.0,0.0,0.0,0.0,METHOD_SENSITIVITY
NH44_SEG_132,14,0.0,0.0,0.0,0.0,METHOD_SENSITIVITY
NH44_SEG_133,10,0.0,0.0,0.0,0.0,METHOD_SENSITIVITY
NH44_SEG_134,3,0.0,0.0,0.0,0.0,METHOD_SENSITIVITY
NH44_SEG_135,1,0.0,0.0,0.0,0.0,METHOD_SENSITIVITY
NH44_SEG_136,4,0.0,0.0,0.0,0.0,METHOD_SENSITIVITY
NH44_SEG_137,2,0.0,0.0,0.0,0.0,METHOD_SENSITIVITY
NH44_SEG_138,6,0.0,0.0,0.0,0.0,METHOD_SENSITIVITY
NH44_SEG_139,12,0.0,0.0,0.0,0.0,METHOD_SENSITIVITY
NH44_SEG_140,17,0.0,0.0,0.0,0.0,METHOD_SENSITIVITY
NH44_SEG_141,18,0.0,0.0,0.0,0.0,METHOD_SENSITIVITY
NH44_SEG_142,16,0.0,0.0,0.0,0.0,METHOD_SENSITIVITY
NH44_SEG_143,9,0.0,0.0,0.0,0.0,METHOD_SENSITIVITY
NH44_SEG_144,7,0.0,0.0,0.0,0.0,METHOD_SENSITIVITY
NH44_SEG_145,8,0.0,0.0,0.0,0.0,METHOD_SENSITIVITY
NH44_SEG_146,11,0.0,0.0,0.0,0.0,METHOD_SENSITIVITY
NH44_SEG_147,15,0.0,0.0,0.0,0.0,METHOD_SENSITIVITY
NH44_SEG_148,21,0.0,0.0,0.0,0.0,METHOD_SENSITIVITY
NH44_SEG_149,24,0.0,0.0,0.0,0.0,METHOD_SENSITIVITY
NH44_SEG_150,27,0.0,0.0,0.0,0.0,METHOD_SENSITIVITY
NH44_SEG_151,31,0.0,0.0,0.0,0.0,METHOD_SENSITIVITY
NH44_SEG_152,33,0.0,0.0,0.0,0.0,METHOD_SENSITIVITY
NH44_SEG_153,36,0.0,0.0,0.0,0.0,METHOD_SENSITIVITY
NH44_SEG_154,34,0.0,0.0,0.0,0.0,METHOD_SENSITIVITY
NH44_SEG_155,35,0.0,0.0,0.0,0.0,METHOD_SENSITIVITY
NH44_SEG_156,37,0.0,0.0,0.0,0.0,METHOD_SENSITIVITY
NH44_SEG_157,38,0.0,0.0,0.0,0.0,METHOD_SENSITIVITY
NH44_SEG_158,39,0.0,0.0,0.0,0.0,METHOD_SENSITIVITY
