segment_id,chainage_mid_m,structure_dominant_type,mean_consensus_percentile_s2,mean_percentile_range_active,max_percentile_range_active,overall_stability_category
NH44_SEG_123,61250.0,Open Road,50.32,0.0,0.0,STABLE_CONSENSUS
NH44_SEG_124,61750.0,Open Road,50.32,0.0,0.0,STABLE_CONSENSUS
NH44_SEG_125,62250.0,Open Road,50.32,0.0,0.0,STABLE_CONSENSUS
NH44_SEG_126,62750.0,Open Road,50.32,0.0,0.0,STABLE_CONSENSUS
NH44_SEG_127,63250.0,Open Road,50.32,0.0,0.0,STABLE_CONSENSUS
NH44_SEG_128,63750.0,Open Road,50.32,0.0,0.0,STABLE_CONSENSUS
NH44_SEG_129,64250.0,Open Road,50.32,0.0,0.0,STABLE_CONSENSUS
NH44_SEG_130,64750.0,Open Road,50.32,0.0,0.0,STABLE_CONSENSUS
NH44_SEG_131,65250.0,Open Road,50.32,0.0,0.0,STABLE_CONSENSUS
NH44_SEG_132,65750.0,Open Road,50.32,0.0,0.0,STABLE_CONSENSUS
NH44_SEG_133,66250.0,Open Road,50.32,0.0,0.0,STABLE_CONSENSUS
NH44_SEG_134,66750.0,Open Road,50.32,0.0,0.0,STABLE_CONSENSUS
NH44_SEG_135,67250.0,Open Road,50.32,0.0,0.0,STABLE_CONSENSUS
NH44_SEG_136,67750.0,Open Road,50.32,0.0,0.0,STABLE_CONSENSUS
NH44_SEG_137,68250.0,Open Road,50.32,0.0,0.0,STABLE_CONSENSUS
NH44_SEG_138,68750.0,Open Road,50.32,0.0,0.0,STABLE_CONSENSUS
NH44_SEG_139,69250.0,Open Road,50.32,0.0,0.0,STABLE_CONSENSUS
NH44_SEG_140,69750.0,Open Road,50.32,0.0,0.0,STABLE_CONSENSUS
NH44_SEG_141,70250.0,Open Road,50.32,0.0,0.0,STABLE_CONSENSUS
NH44_SEG_142,70750.0,Open Road,50.32,0.0,0.0,STABLE_CONSENSUS
NH44_SEG_143,71250.0,Open Road,50.32,0.0,0.0,STABLE_CONSENSUS
NH44_SEG_144,71750.0,Open Road,50.32,0.0,0.0,STABLE_CONSENSUS
NH44_SEG_145,72250.0,Open Road,50.32,0.0,0.0,STABLE_CONSENSUS
NH44_SEG_146,72750.0,Open Road,50.32,0.0,0.0,STABLE_CONSENSUS
NH44_SEG_147,73250.0,Open Road,50.32,0.0,0.0,STABLE_CONSENSUS
NH44_SEG_148,73750.0,Open Road,50.32,0.0,0.0,STABLE_CONSENSUS
NH44_SEG_149,74250.0,Open Road,50.32,0.0,0.0,STABLE_CONSENSUS
NH44_SEG_150,74750.0,Open Road,50.32,0.0,0.0,STABLE_CONSENSUS
NH44_SEG_151,75250.0,Tunnel,50.32,0.0,0.0,STABLE_CONSENSUS
NH44_SEG_152,75750.0,Tunnel,50.32,0.0,0.0,STABLE_CONSENSUS
NH44_SEG_153,76250.0,Tunnel,50.32,0.0,0.0,STABLE_CONSENSUS
NH44_SEG_154,76750.0,Tunnel,50.32,0.0,0.0,STABLE_CONSENSUS
NH44_SEG_155,77250.0,Tunnel,50.32,0.0,0.0,STABLE_CONSENSUS
NH44_SEG_156,77750.0,Tunnel,50.32,0.0,0.0,STABLE_CONSENSUS
NH44_SEG_157,78250.0,Tunnel,50.32,0.0,0.0,STABLE_CONSENSUS
NH44_SEG_158,78559.68,Open Road,50.32,0.0,0.0,STABLE_CONSENSUS
