segment_id,sequence_number,start_chainage_m,end_chainage_m,nominal_length_m,actual_geometry_length_m,start_longitude,start_latitude,end_longitude,end_latitude,midpoint_longitude,midpoint_latitude,vertex_count,source_route_sha256,terminal_segment
NH44_SEG_046,46,22500.0,23000.0,500.0,500.0,75.294083,33.130423,75.297429,33.133564,75.296248,33.131683,26,7141c209c578f8e8f19bc13b85409eeb220b709703c62691fac732594b2e3564,False
NH44_SEG_047,47,23000.0,23500.0,500.0,500.0,75.297429,33.133564,75.299758,33.137346,75.298427,33.135394,19,7141c209c578f8e8f19bc13b85409eeb220b709703c62691fac732594b2e3564,False
NH44_SEG_048,48,23500.0,24000.0,500.0,500.0,75.299758,33.137346,75.303076,33.14062,75.301138,33.139248,19,7141c209c578f8e8f19bc13b85409eeb220b709703c62691fac732594b2e3564,False
NH44_SEG_049,49,24000.0,24500.0,500.0,500.0,75.303076,33.14062,75.3041,33.144878,75.303952,33.142706,21,7141c209c578f8e8f19bc13b85409eeb220b709703c62691fac732594b2e3564,False
NH44_SEG_050,50,24500.0,25000.0,500.0,500.0,75.3041,33.144878,75.304678,33.148483,75.305225,33.146815,19,7141c209c578f8e8f19bc13b85409eeb220b709703c62691fac732594b2e3564,False
NH44_SEG_051,51,25000.0,25500.0,500.0,500.0,75.304678,33.148483,75.306112,33.152594,75.305631,33.150417,17,7141c209c578f8e8f19bc13b85409eeb220b709703c62691fac732594b2e3564,False
NH44_SEG_052,52,25500.0,26000.0,500.0,500.0,75.306112,33.152594,75.307709,33.156764,75.307001,33.154645,18,7141c209c578f8e8f19bc13b85409eeb220b709703c62691fac732594b2e3564,False
NH44_SEG_053,53,26000.0,26500.0,500.0,500.0,75.307709,33.156764,75.308486,33.160953,75.308226,33.15894,14,7141c209c578f8e8f19bc13b85409eeb220b709703c62691fac732594b2e3564,False
NH44_SEG_054,54,26500.0,27000.0,500.0,500.0,75.308486,33.160953,75.310364,33.16497,75.30939,33.162925,15,7141c209c578f8e8f19bc13b85409eeb220b709703c62691fac732594b2e3564,False
NH44_SEG_055,55,27000.0,27500.0,500.0,500.0,75.310364,33.16497,75.306097,33.167425,75.308093,33.165973,16,7141c209c578f8e8f19bc13b85409eeb220b709703c62691fac732594b2e3564,False
NH44_SEG_056,56,27500.0,28000.0,500.0,500.0,75.306097,33.167425,75.301595,33.169364,75.303998,33.168683,22,7141c209c578f8e8f19bc13b85409eeb220b709703c62691fac732594b2e3564,False
NH44_SEG_057,57,28000.0,28500.0,500.0,500.0,75.301595,33.169364,75.296413,33.169727,75.298941,33.16913,11,7141c209c578f8e8f19bc13b85409eeb220b709703c62691fac732594b2e3564,False
NH44_SEG_058,58,28500.0,29000.0,500.0,500.0,75.296413,33.169727,75.299406,33.17192,75.297235,33.170957,23,7141c209c578f8e8f19bc13b85409eeb220b709703c62691fac732594b2e3564,False
NH44_SEG_059,59,29000.0,29500.0,500.0,500.0,75.299406,33.17192,75.300206,33.176083,75.300504,33.173949,13,7141c209c578f8e8f19bc13b85409eeb220b709703c62691fac732594b2e3564,False
NH44_SEG_060,60,29500.0,30000.0,500.0,500.0,75.300206,33.176083,75.298272,33.180261,75.299112,33.178142,5,7141c209c578f8e8f19bc13b85409eeb220b709703c62691fac732594b2e3564,False
NH44_SEG_061,61,30000.0,30500.0,500.0,500.0,75.298272,33.180261,75.301346,33.18336,75.299759,33.181786,21,7141c209c578f8e8f19bc13b85409eeb220b709703c62691fac732594b2e3564,False
NH44_SEG_062,62,30500.0,31000.0,500.0,500.0,75.301346,33.18336,75.301066,33.187581,75.301993,33.185487,13,7141c209c578f8e8f19bc13b85409eeb220b709703c62691fac732594b2e3564,False
NH44_SEG_063,63,31000.0,31500.0,500.0,500.0,75.301066,33.187581,75.300134,33.191995,75.300667,33.189808,10,7141c209c578f8e8f19bc13b85409eeb220b709703c62691fac732594b2e3564,False
NH44_SEG_064,64,31500.0,32000.0,500.0,500.0,75.300134,33.191995,75.298095,33.196144,75.299255,33.194115,9,7141c209c578f8e8f19bc13b85409eeb220b709703c62691fac732594b2e3564,False
