source_file,original_feature_id,osm_way_id,geometry_sha256,coordinate_count,edge_length_m,start_coordinate,end_coordinate,road_classification,source_provenance_status
data/audit/nh44_repaired_mainline_source_edges.parquet,FEATURE_35,OSM_WAY_131109996,7576d59721acdd66295e439703244dfe38d4a9a64b149068f24ea8dfbbaf380b,31,0.008,"(75.191868, 33.261675)","(75.196312, 33.258951)",national_primary_highway,LOCAL REFERENCE — NOT INDEPENDENTLY VERIFIED AS OSM
data/audit/nh44_repaired_mainline_source_edges.parquet,FEATURE_36,OSM_WAY_131109997,907f17dcc136997a29cb0afee8e7dea00228e42a5e0636b029b1e76b17147152,6,0.002,"(75.190848, 33.263016)","(75.191868, 33.261675)",national_primary_highway,LOCAL REFERENCE — NOT INDEPENDENTLY VERIFIED AS OSM
data/audit/nh44_repaired_mainline_source_edges.parquet,FEATURE_37,OSM_WAY_131109998,58975dd9beb1d855d752bdd755c73dcbc3521129d59232a0ae38bee7a08d7059,11,0.004,"(75.187070, 33.264045)","(75.190848, 33.263016)",national_primary_highway,LOCAL REFERENCE — NOT INDEPENDENTLY VERIFIED AS OSM
data/audit/nh44_repaired_mainline_source_edges.parquet,FEATURE_38,OSM_WAY_131109999,866937fef7343bf637c051d8ac2846e24f16c5b7f73aa6cc9038fe6b5640a6c9,11,0.003,"(75.184462, 33.265278)","(75.187070, 33.264045)",national_primary_highway,LOCAL REFERENCE — NOT INDEPENDENTLY VERIFIED AS OSM
data/audit/nh44_repaired_mainline_source_edges.parquet,FEATURE_39,OSM_WAY_131110000,64779769fa4f7f18622828ee843a98c1147566a581ee91cdff5bb6ca7e293446,223,0.057,"(75.177430, 33.284231)","(75.193545, 33.316275)",national_primary_highway,LOCAL REFERENCE — NOT INDEPENDENTLY VERIFIED AS OSM
data/audit/nh44_repaired_mainline_source_edges.parquet,FEATURE_40,OSM_WAY_131110001,11d6ea525a698526c06fca6d8db254e89251736ff8b2f47a2da55338d7d9daab,2,0.006,"(75.193606, 33.316372)","(75.197271, 33.320731)",national_primary_highway,LOCAL REFERENCE — NOT INDEPENDENTLY VERIFIED AS OSM
data/audit/nh44_repaired_mainline_source_edges.parquet,FEATURE_41,OSM_WAY_131110002,1322d52d5ffd50c966dac59a2c9f7600728bd91ca80781043521d9c868f29c9c,3,0.001,"(75.197342, 33.320797)","(75.197984, 33.321531)",national_primary_highway,LOCAL REFERENCE — NOT INDEPENDENTLY VERIFIED AS OSM
data/audit/nh44_repaired_mainline_source_edges.parquet,FEATURE_42,OSM_WAY_131110003,f67a7f11566ffb09d039c6101312ade785d3882c0e898a71f064d92145d13611,35,0.005,"(75.197984, 33.321531)","(75.199034, 33.325856)",national_primary_highway,LOCAL REFERENCE — NOT INDEPENDENTLY VERIFIED AS OSM
data/audit/nh44_repaired_mainline_source_edges.parquet,FEATURE_43,OSM_WAY_131110004,5a2216d7470af449f078131550cac9c9d7c5f96ec83cfd8aa3a73d2b5865e21a,6,0.002,"(75.199095, 33.326029)","(75.199662, 33.328176)",national_primary_highway,LOCAL REFERENCE — NOT INDEPENDENTLY VERIFIED AS OSM
data/audit/nh44_repaired_mainline_source_edges.parquet,FEATURE_44,OSM_WAY_131110005,d81f64cd367305da75d1bc0e4cbe0a266ddefefb23ae9bea675c03cb2a58b634,4,0.002,"(75.199669, 33.328281)","(75.199772, 33.330025)",national_primary_highway,LOCAL REFERENCE — NOT INDEPENDENTLY VERIFIED AS OSM
data/audit/nh44_repaired_mainline_source_edges.parquet,FEATURE_45,OSM_WAY_131110006,bdbc6f5b78b04d8841bae5e55d21129aa9405e7bc216c97c636022383bc9021b,2,0.001,"(75.199772, 33.330025)","(75.200176, 33.330427)",national_primary_highway,LOCAL REFERENCE — NOT INDEPENDENTLY VERIFIED AS OSM
data/audit/nh44_repaired_mainline_source_edges.parquet,FEATURE_46,OSM_WAY_131110007,ff3ffc47d6d99d10e26dd4c70e73fb2343d649528c52da4fe4c76a298e87ffdd,24,0.008,"(75.200176, 33.330427)","(75.195732, 33.335368)",national_primary_highway,LOCAL REFERENCE — NOT INDEPENDENTLY VERIFIED AS OSM
data/audit/nh44_repaired_mainline_source_edges.parquet,FEATURE_47,OSM_WAY_131110008,f6525447d0f3110bfedb370b1a023e0c2eb818509e2daecf3aebf05a0535cfd8,2,0.0,"(75.195732, 33.335368)","(75.195400, 33.335650)",national_primary_highway,LOCAL REFERENCE — NOT INDEPENDENTLY VERIFIED AS OSM
data/audit/nh44_repaired_mainline_source_edges.parquet,FEATURE_48,OSM_WAY_131110009,c6b49b421c29107cd01146ddaf25fcbfecc385edbaa08515cac42b956c710ead,38,0.013,"(75.187127, 33.342205)","(75.195400, 33.335650)",national_primary_highway,LOCAL REFERENCE — NOT INDEPENDENTLY VERIFIED AS OSM
data/audit/nh44_repaired_mainline_source_edges.parquet,FEATURE_49,OSM_WAY_131110010,9111f54b49d7201acd68c8b3198da4daeb1318a668370e0d4092cfb261d228f5,20,0.006,"(75.187078, 33.366503)","(75.191940, 33.369374)",national_primary_highway,LOCAL REFERENCE — NOT INDEPENDENTLY VERIFIED AS OSM
data/audit/nh44_repaired_mainline_source_edges.parquet,FEATURE_50,OSM_WAY_131110011,1ed91f10333b37557cb30aa6c8130ec09b7d1f59d22cc4440eaf6032004aa957,2,0.0,"(75.191940, 33.369374)","(75.192377, 33.369441)",national_primary_highway,LOCAL REFERENCE — NOT INDEPENDENTLY VERIFIED AS OSM
data/audit/nh44_repaired_mainline_source_edges.parquet,FEATURE_51,OSM_WAY_131110012,a1ed91c4f5baff4ba03ee5a0a8c3230caecf203ae02e3ad8af4a134078de8cbc,180,0.038,"(75.184462, 33.265278)","(75.177430, 33.284231)",national_primary_highway,LOCAL REFERENCE — NOT INDEPENDENTLY VERIFIED AS OSM
data/audit/nh44_repaired_mainline_source_edges.parquet,FEATURE_52,OSM_WAY_131110013,81070cfc6df30f7b1dc6c9c7ea8c58e2b8b030ce8f679f2f1527eb417f93ad21,137,0.035,"(75.187127, 33.342205)","(75.177472, 33.362104)",national_primary_highway,LOCAL REFERENCE — NOT INDEPENDENTLY VERIFIED AS OSM
data/audit/nh44_repaired_mainline_source_edges.parquet,FEATURE_53,OSM_WAY_131110014,472953bc44071c6d70f6bdfc5638794ff9def07dc920721a17e5f4eba145ae27,38,0.012,"(75.177472, 33.362104)","(75.187078, 33.366503)",national_primary_highway,LOCAL REFERENCE — NOT INDEPENDENTLY VERIFIED AS OSM
data/audit/nh44_repaired_mainline_source_edges.parquet,FEATURE_54,OSM_WAY_131110015,259e26d02ecf28ec591dc4678aed17c488c350f8dc33036b5e4455ce0f5f853a,20,0.003,"(75.184117, 33.481693)","(75.181557, 33.483722)",national_primary_highway,LOCAL REFERENCE — NOT INDEPENDENTLY VERIFIED AS OSM
data/audit/nh44_repaired_mainline_source_edges.parquet,FEATURE_55,OSM_WAY_131110016,5660af8ad974512d4ae2e799dfc0f2692a76386b3f4f928a0761e81d213932da,15,0.006,"(75.192377, 33.369441)","(75.195915, 33.373635)",national_primary_highway,LOCAL REFERENCE — NOT INDEPENDENTLY VERIFIED AS OSM
data/audit/nh44_repaired_mainline_source_edges.parquet,FEATURE_56,OSM_WAY_131110017,d0d7b681c17c6bbffac809be3ac9c85a24902ad1fc4e2eea9b4838a7e6e1d7fe,4,0.001,"(75.195915, 33.373635)","(75.196705, 33.374596)",national_primary_highway,LOCAL REFERENCE — NOT INDEPENDENTLY VERIFIED AS OSM
data/audit/nh44_repaired_mainline_source_edges.parquet,FEATURE_57,OSM_WAY_131110018,cae8c2cf8cb1a08f86789ee8ea0f8085ec409d210fe6af70f7a56e3ef1c788c4,3,0.001,"(75.196870, 33.374767)","(75.197582, 33.375354)",national_primary_highway,LOCAL REFERENCE — NOT INDEPENDENTLY VERIFIED AS OSM
data/audit/nh44_repaired_mainline_source_edges.parquet,FEATURE_58,OSM_WAY_131110019,fdff13d0f259941f37647a6fe491536354819c9a6e5d59195339e513cc4bcd05,14,0.003,"(75.197582, 33.375354)","(75.199601, 33.376682)",national_primary_highway,LOCAL REFERENCE — NOT INDEPENDENTLY VERIFIED AS OSM
data/audit/nh44_repaired_mainline_source_edges.parquet,FEATURE_59,OSM_WAY_131110020,253f13c5b46b8b997650ef182ffadbeaedaee77de52962b607c7af73f247a898,12,0.002,"(75.199601, 33.376682)","(75.200465, 33.378528)",national_primary_highway,LOCAL REFERENCE — NOT INDEPENDENTLY VERIFIED AS OSM
data/audit/nh44_repaired_mainline_source_edges.parquet,FEATURE_60,OSM_WAY_131110021,0eca12867a58210366d5fc45d95668e02de894476b5f409d77f01ea9306377c2,41,0.008,"(75.201538, 33.385742)","(75.200597, 33.378450)",national_primary_highway,LOCAL REFERENCE — NOT INDEPENDENTLY VERIFIED AS OSM
data/audit/nh44_repaired_mainline_source_edges.parquet,FEATURE_61,OSM_WAY_131110022,771b358a45d2aaca58aa783d2147f68a4726894745e2443350c28eaaf8afdd11,7,0.003,"(75.202565, 33.388757)","(75.201538, 33.385742)",national_primary_highway,LOCAL REFERENCE — NOT INDEPENDENTLY VERIFIED AS OSM
data/audit/nh44_repaired_mainline_source_edges.parquet,FEATURE_62,OSM_WAY_131110023,e466cb030442aa0a4e3a4b7be7aeab51bbd581f3fbab3b27c35a969df4791e17,27,0.005,"(75.199152, 33.390856)","(75.202565, 33.388757)",national_primary_highway,LOCAL REFERENCE — NOT INDEPENDENTLY VERIFIED AS OSM
data/audit/nh44_repaired_mainline_source_edges.parquet,FEATURE_63,OSM_WAY_131110024,41cf41560adeae60ddfafab6e5c4f5c48bc9b026b37ca31fbe7c7f9b4136e37a,115,0.029,"(75.204847, 33.414558)","(75.199232, 33.391137)",national_primary_highway,LOCAL REFERENCE — NOT INDEPENDENTLY VERIFIED AS OSM
data/audit/nh44_repaired_mainline_source_edges.parquet,FEATURE_64,OSM_WAY_131110025,2226bdd7c0dcdd6ef329e2bd85a55329a42384edbaffe0fac6b52364da153fe8,5,0.001,"(75.204663, 33.414498)","(75.204790, 33.415022)",national_primary_highway,LOCAL REFERENCE — NOT INDEPENDENTLY VERIFIED AS OSM
data/audit/nh44_repaired_mainline_source_edges.parquet,FEATURE_65,OSM_WAY_131110026,53c8376d718eded2d6374967a06d54cf8e929802dae9e2cdf2538d928577b0bc,9,0.002,"(75.204741, 33.416597)","(75.204939, 33.415115)",national_primary_highway,LOCAL REFERENCE — NOT INDEPENDENTLY VERIFIED AS OSM
data/audit/nh44_repaired_mainline_source_edges.parquet,FEATURE_66,OSM_WAY_131110027,e2173718f6dc5edeeae7b1cb1e2016e1d63df7b11461ebec42190f27e26f9d79,2,0.001,"(75.204583, 33.416592)","(75.204748, 33.417285)",national_primary_highway,LOCAL REFERENCE — NOT INDEPENDENTLY VERIFIED AS OSM
data/audit/nh44_repaired_mainline_source_edges.parquet,FEATURE_67,OSM_WAY_131110028,4941563e57aaa216574499eecdd634e32bbdb811cf4e31d8b9ef335357f555e2,49,0.009,"(75.204748, 33.417285)","(75.204605, 33.425718)",national_primary_highway,LOCAL REFERENCE — NOT INDEPENDENTLY VERIFIED AS OSM
