segment_id,weight_median_rank,rank_p5,rank_p25,rank_p75,rank_p95,rank_interval_width_90,probability_top_10_pct,probability_top_20_pct
NH44_SEG_102,102.0,102.0,102.0,102.0,102.0,0.0,0.0,0.0
NH44_SEG_103,103.0,103.0,103.0,103.0,103.0,0.0,0.0,0.0
NH44_SEG_104,104.0,104.0,104.0,104.0,104.0,0.0,0.0,0.0
NH44_SEG_105,105.0,105.0,105.0,105.0,105.0,0.0,0.0,0.0
NH44_SEG_106,106.0,106.0,106.0,106.0,106.0,0.0,0.0,0.0
NH44_SEG_107,107.0,107.0,107.0,107.0,107.0,0.0,0.0,0.0
NH44_SEG_108,108.0,108.0,108.0,108.0,108.0,0.0,0.0,0.0
NH44_SEG_109,109.0,109.0,109.0,109.0,109.0,0.0,0.0,0.0
NH44_SEG_110,110.0,110.0,110.0,110.0,110.0,0.0,0.0,0.0
NH44_SEG_111,115.0,115.0,115.0,115.0,115.0,0.0,0.0,0.0
NH44_SEG_112,119.0,119.0,119.0,119.0,119.0,0.0,0.0,0.0
NH44_SEG_113,118.0,118.0,118.0,118.0,118.0,0.0,0.0,0.0
NH44_SEG_114,116.0,116.0,116.0,116.0,116.0,0.0,0.0,0.0
NH44_SEG_115,113.0,113.0,113.0,113.0,113.0,0.0,0.0,0.0
NH44_SEG_116,112.0,112.0,112.0,112.0,112.0,0.0,0.0,0.0
NH44_SEG_117,111.0,111.0,111.0,111.0,111.0,0.0,0.0,0.0
NH44_SEG_118,114.0,114.0,114.0,114.0,114.0,0.0,0.0,0.0
NH44_SEG_119,117.0,117.0,117.0,117.0,117.0,0.0,0.0,0.0
NH44_SEG_120,124.0,124.0,124.0,124.0,124.0,0.0,0.0,0.0
NH44_SEG_121,132.0,132.0,132.0,132.0,132.0,0.0,0.0,0.0
NH44_SEG_122,138.0,138.0,138.0,138.0,138.0,0.0,0.0,0.0
NH44_SEG_123,142.0,142.0,142.0,142.0,142.0,0.0,0.0,0.0
NH44_SEG_124,144.0,144.0,144.0,144.0,144.0,0.0,0.0,0.0
NH44_SEG_125,147.0,147.0,147.0,147.0,147.0,0.0,0.0,0.0
NH44_SEG_126,148.0,148.0,148.0,148.0,148.0,0.0,0.0,0.0
NH44_SEG_127,151.0,151.0,151.0,151.0,151.0,0.0,0.0,0.0
