corridor_id,corridor_name,origin_name,destination_name,route_direction,chainage_m,chainage_km,longitude,latitude,projected_x,projected_y,district,geometry_version
NH44-JK-PILOT,NH-44 Jammu-Srinagar Highway Pilot Corridor,Udhampur Pilot Sector,Banihal / Anantnag Sector,South to North,41100.0,41.1,75.392812,33.601575,536443.96,3718049.94,anantnag,2.3A
NH44-JK-PILOT,NH-44 Jammu-Srinagar Highway Pilot Corridor,Udhampur Pilot Sector,Banihal / Anantnag Sector,South to North,41200.0,41.2,75.391911,33.601095,536360.57,3717996.39,anantnag,2.3A
NH44-JK-PILOT,NH-44 Jammu-Srinagar Highway Pilot Corridor,Udhampur Pilot Sector,Banihal / Anantnag Sector,South to North,41300.0,41.3,75.391036,33.600575,536279.54,3717938.51,anantnag,2.3A
NH44-JK-PILOT,NH-44 Jammu-Srinagar Highway Pilot Corridor,Udhampur Pilot Sector,Banihal / Anantnag Sector,South to North,41400.0,41.4,75.390206,33.6,536202.8,3717874.4,anantnag,2.3A
NH44-JK-PILOT,NH-44 Jammu-Srinagar Highway Pilot Corridor,Udhampur Pilot Sector,Banihal / Anantnag Sector,South to North,41500.0,41.5,75.38937,33.599431,536125.48,3717811.07,anantnag,2.3A
NH44-JK-PILOT,NH-44 Jammu-Srinagar Highway Pilot Corridor,Udhampur Pilot Sector,Banihal / Anantnag Sector,South to North,41600.0,41.6,75.388644,33.598867,536058.35,3717748.31,anantnag,2.3A
NH44-JK-PILOT,NH-44 Jammu-Srinagar Highway Pilot Corridor,Udhampur Pilot Sector,Banihal / Anantnag Sector,South to North,41700.0,41.7,75.388448,33.598021,536040.56,3717654.43,anantnag,2.3A
NH44-JK-PILOT,NH-44 Jammu-Srinagar Highway Pilot Corridor,Udhampur Pilot Sector,Banihal / Anantnag Sector,South to North,41800.0,41.8,75.387717,33.597364,535972.97,3717581.26,anantnag,2.3A
NH44-JK-PILOT,NH-44 Jammu-Srinagar Highway Pilot Corridor,Udhampur Pilot Sector,Banihal / Anantnag Sector,South to North,41900.0,41.9,75.386989,33.596708,535905.72,3717508.3,anantnag,2.3A
NH44-JK-PILOT,NH-44 Jammu-Srinagar Highway Pilot Corridor,Udhampur Pilot Sector,Banihal / Anantnag Sector,South to North,42000.0,42.0,75.386494,33.595908,535860.12,3717419.45,anantnag,2.3A
